work_id,mp_id,house_type,tenure,state_name,constituency,nodal_district,recommendation_date,recommendation_type,sector,sub_sector,work_description,work_location_state,district,block,village,latitude,longitude,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,sanction_date,sanction_status,implementing_agency_id,expected_start_date,expected_completion_date,actual_start_date,current_status,current_physical_progress_pct,current_expenditure_inr,duplicate_group_reference,source_type,source_reference,synthetic_marker
W-000001,MP-OD-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 3,Odisha Demo District 3,2025-10-20,Normal MPLADS Work,Sports,Playground Development,"Development of Playground Development at Demo Village 12, Demo Block 6, Odisha Demo District 4",Odisha,Odisha Demo District 4,Demo Block 6,Demo Village 12,19.602321,85.073963,2331000,2444000,2474000,2025-10-27,Sanctioned,IA-OD-006,2025-12-05,2026-09-02,2025-12-15,Completed,100.0,2471000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000002,MP-KA-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 2,2024-06-16,Normal MPLADS Work,Sports,Open Gym,"Development of Open Gym at Demo Village 5, Demo Block 7, Karnataka Demo District 1",Karnataka,Karnataka Demo District 1,Demo Block 7,Demo Village 5,14.16933,76.788496,1625000,1723000,1719000,2024-06-30,Sanctioned,IA-KA-001,2024-07-07,2025-03-11,2024-07-12,Completed,100.0,1630000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000003,MP-TS-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,Telangana,Telangana Rajya Sabha Seat,Telangana Demo District 2,2023-10-30,Normal MPLADS Work,Community Infrastructure,Bus Shelter,"Development of Bus Shelter at Demo Village 5, Demo Block 5, Telangana Demo District 1",Telangana,Telangana Demo District 1,Demo Block 5,Demo Village 5,16.539143,80.264785,1573000,1598000,1628000,2023-12-02,Sanctioned,IA-TS-005,2023-12-29,2024-07-19,2024-01-16,Completed,100.0,1690000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000004,MP-OD-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 5,Odisha Demo District 1,2023-09-29,Normal MPLADS Work,Drinking Water,Pipeline Extension,"Development of Pipeline Extension at Demo Village 3, Demo Block 2, Odisha Demo District 2",Odisha,Odisha Demo District 2,Demo Block 2,Demo Village 3,19.83216,84.881281,2664000,2639000,2612000,2023-10-08,Sanctioned,IA-OD-004,2023-11-10,2024-10-22,2023-11-29,Completed,100.0,2646000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000005,MP-AP-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 5,Andhra Pradesh Demo District 1,2024-09-07,Normal MPLADS Work,Drinking Water,RO Water Plant,"Development of RO Water Plant at Demo Village 16, Demo Block 2, Andhra Pradesh Demo District 2",Andhra Pradesh,Andhra Pradesh Demo District 2,Demo Block 2,Demo Village 16,15.513821,79.715918,1949000,2024000,2047000,2024-10-15,Sanctioned,IA-AP-001,2024-11-25,2025-06-28,2024-12-11,Ongoing,94.4,1746000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000006,MP-AP-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 2,2024-06-12,Normal MPLADS Work,Sanitation,Community Sanitation,"Development of Community Sanitation at Demo Village 8, Demo Block 5, Andhra Pradesh Demo District 2",Andhra Pradesh,Andhra Pradesh Demo District 2,Demo Block 5,Demo Village 8,15.76659,81.578146,2016000,2101000,2134000,2024-07-06,Sanctioned,IA-AP-004,2024-08-03,2025-03-30,2024-08-10,Completed,100.0,2106000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000007,MP-AP-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,Andhra Pradesh Demo District 3,2023-07-22,Normal MPLADS Work,Sanitation,Public Toilet,"Development of Public Toilet at Demo Village 3, Demo Block 1, Andhra Pradesh Demo District 2",Andhra Pradesh,Andhra Pradesh Demo District 2,Demo Block 1,Demo Village 3,17.19942,79.730409,2186000,2230000,2290000,2023-07-29,Sanctioned,IA-AP-003,2023-09-09,2024-06-12,2023-09-27,Completed,100.0,2235000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000008,MP-MH-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Demo Constituency 4,Maharashtra Demo District 4,2025-08-23,Normal MPLADS Work,Drinking Water,RO Water Plant,"Development of RO Water Plant at Demo Village 10, Demo Block 6, Maharashtra Demo District 4",Maharashtra,Maharashtra Demo District 4,Demo Block 6,Demo Village 10,18.895072,74.837045,838000,818000,847000,2025-09-14,Sanctioned,IA-MH-005,2025-10-14,2026-09-25,2025-11-13,Ongoing,75.7,684000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000009,MP-MH-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 2,2025-08-04,Normal MPLADS Work,Drinking Water,Pipeline Extension,"Development of Pipeline Extension at Demo Village 3, Demo Block 7, Maharashtra Demo District 3",Maharashtra,Maharashtra Demo District 3,Demo Block 7,Demo Village 3,20.138663,76.072026,1658000,1579000,1616000,2025-09-06,Sanctioned,IA-MH-004,2025-10-02,2026-09-22,2025-11-02,Completed,100.0,1618000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000010,MP-AP-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 4,Andhra Pradesh Demo District 4,2024-12-29,Normal MPLADS Work,Renewable Energy,Solar Street Lights,"Development of Solar Street Lights at Demo Village 8, Demo Block 1, Andhra Pradesh Demo District 3",Andhra Pradesh,Andhra Pradesh Demo District 3,Demo Block 1,Demo Village 8,17.314176,81.070359,2116000,2246000,2290000,2025-02-14,Sanctioned,IA-AP-002,2025-02-24,2025-11-29,2025-03-09,Completed,100.0,2187000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000011,MP-OD-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 2,Odisha Demo District 2,2024-01-01,Normal MPLADS Work,Sanitation,Drainage,"Development of Drainage at Demo Village 13, Demo Block 2, Odisha Demo District 2",Odisha,Odisha Demo District 2,Demo Block 2,Demo Village 13,21.242216,84.165374,1832000,1929000,1899000,2024-02-11,Sanctioned,IA-OD-003,2024-03-03,2024-10-09,2024-03-26,Completed,100.0,1785000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000012,MP-AP-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 1,2025-10-09,Normal MPLADS Work,Community Infrastructure,Community Hall,"Development of Community Hall at Demo Village 26, Demo Block 1, Andhra Pradesh Demo District 2",Andhra Pradesh,Andhra Pradesh Demo District 2,Demo Block 1,Demo Village 26,16.693442,80.527053,1358000,1464000,1460000,2025-10-25,Sanctioned,IA-AP-005,2025-11-18,2026-09-19,2025-11-30,Ongoing,83.6,1087000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000013,MP-MH-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Demo Constituency 4,Maharashtra Demo District 4,2026-01-25,Normal MPLADS Work,Community Infrastructure,Bus Shelter,"Development of Bus Shelter at Demo Village 4, Demo Block 6, Maharashtra Demo District 4",Maharashtra,Maharashtra Demo District 4,Demo Block 6,Demo Village 4,20.282031,74.582168,2311000,2438000,2430000,2026-02-06,Sanctioned,IA-MH-005,2026-03-21,2027-02-28,2026-04-18,Ongoing,32.2,687000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000014,MP-TS-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Telangana,Telangana Demo Constituency 2,Telangana Demo District 2,2024-08-15,Normal MPLADS Work,Sanitation,Solid Waste Shed,"Development of Solid Waste Shed at Demo Village 10, Demo Block 8, Telangana Demo District 1",Telangana,Telangana Demo District 1,Demo Block 8,Demo Village 10,16.953086,78.331593,1664000,1618000,1639000,2024-09-01,Sanctioned,IA-TS-004,2024-09-16,2025-06-13,2024-10-08,Completed,100.0,1665000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000015,MP-RJ-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,Rajasthan,Rajasthan Rajya Sabha Seat,Rajasthan Demo District 2,2024-06-26,Normal MPLADS Work,Sanitation,Community Sanitation,"Development of Community Sanitation at Demo Village 12, Demo Block 6, Rajasthan Demo District 4",Rajasthan,Rajasthan Demo District 4,Demo Block 6,Demo Village 12,27.823876,74.027947,2240000,2393000,2425000,2024-08-04,Sanctioned,IA-RJ-003,2024-08-27,2025-06-14,2024-08-29,Ongoing,80.2,1859000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000016,MP-RJ-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Rajasthan,Rajasthan Demo Constituency 5,Rajasthan Demo District 1,2025-12-17,Normal MPLADS Work,Health,Ambulance Shelter,"Development of Ambulance Shelter at Demo Village 28, Demo Block 2, Rajasthan Demo District 3",Rajasthan,Rajasthan Demo District 3,Demo Block 2,Demo Village 28,26.961377,73.983176,1751000,1884000,1903000,2026-01-10,Sanctioned,IA-RJ-006,2026-02-08,2027-01-31,2026-02-03,Ongoing,65.7,1100000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000017,MP-KA-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 5,Karnataka Demo District 1,2025-09-23,Normal MPLADS Work,Education,School Toilet,"Development of School Toilet at Demo Village 1, Demo Block 1, Karnataka Demo District 2",Karnataka,Karnataka Demo District 2,Demo Block 1,Demo Village 1,14.878442,75.571391,3484000,3445000,3391000,2025-10-24,Sanctioned,IA-KA-005,2025-11-16,2026-10-03,2025-12-07,Ongoing,90.5,3012000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000018,MP-OD-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 5,Odisha Demo District 1,2025-04-19,Normal MPLADS Work,Roads & Bridges,Approach Road,"Development of Approach Road at Demo Village 34, Demo Block 3, Odisha Demo District 2",Odisha,Odisha Demo District 2,Demo Block 3,Demo Village 34,20.388957,85.369681,1868000,2008000,2040000,2025-05-22,Sanctioned,IA-OD-001,2025-06-17,2026-01-01,2025-07-22,Completed,100.0,2186000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000019,MP-MH-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Demo Constituency 4,Maharashtra Demo District 4,2023-05-18,Normal MPLADS Work,Renewable Energy,Solar Public Facility,"Development of Solar Public Facility at Demo Village 27, Demo Block 6, Maharashtra Demo District 3",Maharashtra,Maharashtra Demo District 3,Demo Block 6,Demo Village 27,19.749972,76.143585,837000,882000,906000,2023-06-03,Sanctioned,IA-MH-004,2023-07-07,2024-06-05,2023-07-12,Completed,100.0,960000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
