work_id,anomaly_label,anomaly_types,duplicate_group_id,label_usage_note,synthetic_demo_data
W-000001,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000002,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000003,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000004,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000005,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000006,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000007,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000008,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000009,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000010,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000011,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000012,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000013,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000014,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000015,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000016,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000017,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000018,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000019,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000020,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000021,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000022,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000023,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000024,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000025,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000026,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000027,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000028,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
W-000029,False,,,"EVALUATION ONLY — prohibited from production features, APIs, and scoring",True
