work_id,mp_id,state_name,constituency,district,block,village,sector,sub_sector,work_description,registered_latitude,registered_longitude,coordinates_provenance,recommendation_date,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,sanction_date,sanction_revision_count,implementing_agency_id,expected_start_date,actual_start_date,expected_completion_date,actual_completion_date,lifecycle_stage,current_status,current_physical_progress_pct,current_expenditure_inr,final_actual_expenditure_inr,source_type,synthetic_demo_data,released_payments_inr,payment_count,payment_chronology_flag,latest_payment_release,latest_progress_report,physical_progress_pct,financial_progress_pct,expected_progress_pct_by_date,financial_physical_gap_pct,observed_delay,observed_cost_overrun,release_above_visible_sanction,review_priority_score_0_100,review_priority_band,requires_review,geo_warning_contribution_points,policy_version,anomaly_unusualness,within_lifecycle_percentile_0_100,anomaly_flag,peer_robust_deviation,has_duplicate_candidate,best_candidate_work_id,best_similarity_0_1,model_score_0_1,serving_percentile_0_100,early_warning_status,model_name,model_version,model_quality_status,prediction_timestamp,monthly_evidence_status,completion_evidence_status,latest_evidence_id,latest_capture_timestamp,location_status,distance_from_registered_metres,late_evidence_count,missing_monthly_site_evidence,geo_warning_only,sanction_record,progress_report,payment_release,completion_certificate,utilization_certificate,handover_record,public_use_evidence,completed_work_photo,asset_register,audit_record,closure_requires_review
W-000001,MP-S01-01,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 1,Demo Block 1,Demo Village 8,Others,public sanitation block,"Construction and improvement of public sanitation block at Demo Village 8, Demo Block 1",15.146251,79.529365,SYNTHETIC_PROTOTYPE_COORDINATE,2022-04-12,8042000,7780000,,,0,IA-S01-01-01,,,,,PRE_SANCTION,RECOMMENDED,0.0,0,,SYNTHETIC_V2,True,0.0,0,False,,,0.0,,,,False,False,False,8.915663,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.48062427879790554,29.71887550200803,False,,False,W-001231,1.0,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,,,COMPARISON_UNAVAILABLE,,0,False,True,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000002,MP-S02-01,Karnataka,Karnataka Demo Constituency 1,Karnataka Demo District 1,Demo Block 2,Demo Village 15,Community Infrastructure,sports facility,"Construction and improvement of sports facility at Demo Village 15, Demo Block 2",15.15312,75.545694,SYNTHETIC_PROTOTYPE_COORDINATE,2022-04-23,10771000,11119000,11472000.0,2022-07-13,0,IA-S02-01-01,2022-09-16,2022-09-26,2026-11-14,,EXECUTION,ONGOING,92.0,9850000,,SYNTHETIC_V2,True,9850000.0,4,False,2025-11-30,2026-09-05,92.0,98.1,100.0,6.099999999999994,False,False,False,16.784291,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.47041823360707263,62.457142857142856,False,0.851988327759908,False,W-001232,1.0,0.8823723,48.91428571428572,HIGH_EARLY_WARNING,xgboost,DEMO_V2_MODELS_1_0,SYNTHETIC_HOLDOUT_SUPPORTED,2026-09-05T00:00:00+00:00,RECORDED,NOT_APPLICABLE,GEO-V2-00000008,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,67.12007758332663,0,False,True,RECORDED,RECORDED,RECORDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000003,MP-S03-01,Maharashtra,Maharashtra Demo Constituency 1,Maharashtra Demo District 1,Demo Block 3,Demo Village 22,Health,primary health centre,"Construction and improvement of primary health centre at Demo Village 22, Demo Block 3",19.267925,74.853982,SYNTHETIC_PROTOTYPE_COORDINATE,2022-05-04,643000,678000,606000.0,2022-08-03,0,IA-S03-01-01,2022-09-03,2022-09-19,2023-10-18,,EXECUTION,ONGOING,91.5,571000,,SYNTHETIC_V2,True,571000.0,2,False,2025-05-21,2026-09-05,91.5,97.2,100.0,5.700000000000003,True,False,False,34.267684,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.5522378005297405,92.85714285714286,False,0.6508244170388197,False,W-001233,0.9999999403953552,0.8637663,44.57142857142857,HIGH_EARLY_WARNING,xgboost,DEMO_V2_MODELS_1_0,SYNTHETIC_HOLDOUT_SUPPORTED,2026-09-05T00:00:00+00:00,RECORDED,NOT_APPLICABLE,GEO-V2-00000016,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,167.9426549536818,0,False,True,RECORDED,RECORDED,RECORDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000004,MP-S04-01,Odisha,Odisha Demo Constituency 1,Odisha Demo District 1,Demo Block 4,Demo Village 29,Drinking Water,community water tank,"Construction and improvement of community water tank at Demo Village 29, Demo Block 4",20.3776,84.265515,SYNTHETIC_PROTOTYPE_COORDINATE,2022-05-15,5790000,5848000,5825000.0,2022-09-01,0,IA-S04-01-01,2022-11-03,2022-11-07,2026-10-03,,EXECUTION,ONGOING,92.0,7895000,,SYNTHETIC_V2,True,7895000.0,3,False,2025-09-25,2026-09-05,92.0,104.8,100.0,12.799999999999997,False,False,True,39.092217,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.4650917394547368,58.74285714285714,False,1.8445257504053796,False,W-001234,1.0,0.9644295,93.08571428571429,HIGH_EARLY_WARNING,xgboost,DEMO_V2_MODELS_1_0,SYNTHETIC_HOLDOUT_SUPPORTED,2026-09-05T00:00:00+00:00,RECORDED,NOT_APPLICABLE,GEO-V2-00000024,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,152.3829064649311,0,False,True,RECORDED,RECORDED,RECORDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000005,MP-S05-01,Rajasthan,Rajasthan Demo Constituency 1,Rajasthan Demo District 1,Demo Block 5,Demo Village 36,Education,library building,"Construction and improvement of library building at Demo Village 36, Demo Block 5",26.494736,73.678867,SYNTHETIC_PROTOTYPE_COORDINATE,2022-05-26,5000000,4880000,5212000.0,2022-08-03,0,IA-S05-01-01,2022-09-30,2022-10-02,2027-03-22,,EXECUTION,ONGOING,92.0,5094000,,SYNTHETIC_V2,True,5094000.0,4,False,2025-11-25,2026-09-05,92.0,91.1,100.0,-0.9000000000000057,False,False,False,5.531632,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.42329762689646494,15.771428571428572,False,-0.21488201186865147,False,W-001235,1.0,0.8662562,45.371428571428574,HIGH_EARLY_WARNING,xgboost,DEMO_V2_MODELS_1_0,SYNTHETIC_HOLDOUT_SUPPORTED,2026-09-05T00:00:00+00:00,RECORDED,NOT_APPLICABLE,GEO-V2-00000032,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,124.59844493979885,0,False,True,RECORDED,RECORDED,RECORDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000006,MP-S06-01,Tamil Nadu,Tamil Nadu Demo Constituency 1,Tamil Nadu Demo District 1,Demo Block 1,Demo Village 2,Roads,rural road,"Construction and improvement of rural road at Demo Village 2, Demo Block 1",11.004576,78.594524,SYNTHETIC_PROTOTYPE_COORDINATE,2022-06-06,8134000,8528000,8302000.0,2022-07-27,0,IA-S06-01-01,2022-08-30,2022-08-30,2026-11-19,,EXECUTION,ONGOING,92.0,5811000,,SYNTHETIC_V2,True,5811000.0,2,False,2025-05-12,2026-09-05,92.0,96.8,100.0,4.799999999999997,False,False,False,9.855008,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.4351660059296015,29.485714285714288,False,0.547228352028181,False,W-001236,0.9999998807907104,0.47467294,24.342857142857145,ELEVATED_EARLY_WARNING,xgboost,DEMO_V2_MODELS_1_0,SYNTHETIC_HOLDOUT_SUPPORTED,2026-09-05T00:00:00+00:00,RECORDED,NOT_APPLICABLE,GEO-V2-00000040,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,143.9411785945941,0,False,True,RECORDED,RECORDED,RECORDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000007,MP-S01-02,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 1,Demo Block 2,Demo Village 9,Others,public sanitation block,"Construction and improvement of public sanitation block at Demo Village 9, Demo Block 2",15.216699,79.605546,SYNTHETIC_PROTOTYPE_COORDINATE,2022-06-17,11108000,11401000,11336000.0,2022-08-25,0,IA-S01-01-01,2022-10-03,2022-11-04,2026-11-05,,EXECUTION,ONGOING,80.1,8197000,,SYNTHETIC_V2,True,8197000.0,3,False,2025-09-27,2026-09-05,80.1,80.1,100.0,0.0,False,False,False,7.477227,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.465934194609651,59.199999999999996,False,0.11241512657943295,False,W-001237,0.9999999403953552,0.2763203,13.485714285714288,NO_EARLY_WARNING,xgboost,DEMO_V2_MODELS_1_0,SYNTHETIC_HOLDOUT_SUPPORTED,2026-09-05T00:00:00+00:00,RECORDED,NOT_APPLICABLE,GEO-V2-00000048,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,163.67065671722992,0,False,True,RECORDED,RECORDED,RECORDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000008,MP-S02-02,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 1,Demo Block 3,Demo Village 16,Community Infrastructure,sports facility,"Construction and improvement of sports facility at Demo Village 16, Demo Block 3",15.225283,75.614189,SYNTHETIC_PROTOTYPE_COORDINATE,2022-06-28,11463000,11140000,11235000.0,2022-09-22,0,IA-S02-01-01,2022-11-24,2022-12-01,2024-01-06,,EXECUTION,ONGOING,76.3,8782000,,SYNTHETIC_V2,True,8782000.0,4,False,2025-12-13,2026-09-05,76.3,80.7,100.0,4.400000000000006,True,False,False,30.285779,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.4831353418121053,70.39999999999999,False,0.6508244170388197,False,W-001238,0.9999996423721313,0.36127737,18.514285714285712,NO_EARLY_WARNING,xgboost,DEMO_V2_MODELS_1_0,SYNTHETIC_HOLDOUT_SUPPORTED,2026-09-05T00:00:00+00:00,RECORDED,NOT_APPLICABLE,GEO-V2-00000056,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,153.18418136939158,0,False,True,RECORDED,RECORDED,RECORDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
W-000009,MP-S03-02,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 1,Demo Block 4,Demo Village 23,Health,primary health centre,"Construction and improvement of primary health centre at Demo Village 23, Demo Block 4",19.340368,74.930512,SYNTHETIC_PROTOTYPE_COORDINATE,2022-07-09,8311000,7925000,7142000.0,2022-07-30,0,IA-S03-01-01,2022-08-18,2022-09-19,2023-05-01,2023-09-01,COMPLETION,COMPLETED,100.0,6761000,6761000.0,SYNTHETIC_V2,True,6761000.0,6,False,2023-07-17,2023-09-01,100.0,109.4,100.0,9.400000000000006,False,False,False,6.264232,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.4517480407495511,28.960755813953487,False,1.0712500297569463,False,W-001239,1.0,,,,,,,,NOT_APPLICABLE,RECORDED,GEO-V2-00000058,2023-09-02T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,False
W-000010,MP-S04-02,Odisha,Odisha Demo Constituency 2,Odisha Demo District 1,Demo Block 5,Demo Village 30,Drinking Water,community water tank,"Construction and improvement of community water tank at Demo Village 30, Demo Block 5",20.453543,84.339835,SYNTHETIC_PROTOTYPE_COORDINATE,2022-07-20,3310000,3366000,3226000.0,2022-08-18,0,IA-S04-01-01,2022-10-08,2022-11-02,2023-10-03,2024-01-12,COMPLETION,COMPLETED,100.0,3731000,3731000.0,SYNTHETIC_V2,True,3731000.0,2,False,2023-08-24,2024-01-12,100.0,102.0,100.0,2.0,False,True,True,69.786394,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2,0.47684758380008774,55.12354651162791,False,0.19434479510342587,False,W-002101,0.9941613674163818,,,,,,,,NOT_APPLICABLE,RECORDED,GEO-V2-00000060,2024-01-13T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,RECORDED,NOT_RECORDED,RECORDED,NOT_RECORDED,RECORDED,True
