work_id,completion_date,completion_marked_date,final_expenditure_inr,utilization_certificate_status,utilization_certificate_date,asset_id,asset_type,user_agency,asset_register_entry,handover_date,public_use_date,audit_status,audit_date,audit_observation_category,compliance_status,maintenance_agency,completion_photo_reference,source_type,synthetic_marker
W-000001,2026-08-31,2026-09-10,2471000,Submitted,2026-09-23,ASSET-W-000001,Playground Development,Demo Village 12 Demo User Agency,Yes,2026-09-10,2026-09-16,Completed,2026-11-05,None recorded,Compliant,Demo Village 12 Demo Local Body,demo://photos/W-000001/completion,SYNTHETIC_PROTOTYPE,True
W-000002,2026-08-31,2026-09-05,1630000,Submitted,2026-09-11,ASSET-W-000002,Open Gym,Demo Village 5 Demo User Agency,Yes,2026-09-18,2026-09-22,Completed,2026-10-02,None recorded,Compliant,Demo Village 5 Demo Local Body,demo://photos/W-000002/completion,SYNTHETIC_PROTOTYPE,True
W-000003,2026-08-31,2026-09-01,1690000,Submitted,2026-09-26,ASSET-W-000003,Bus Shelter,Demo Village 5 Demo User Agency,Yes,2026-09-03,2026-09-17,Completed,2027-01-08,None recorded,Compliant,Demo Village 5 Demo Local Body,demo://photos/W-000003/completion,SYNTHETIC_PROTOTYPE,True
W-000004,2026-08-31,2026-09-03,2646000,Submitted,2026-09-10,ASSET-W-000004,Pipeline Extension,Demo Village 3 Demo User Agency,Yes,2026-09-11,2026-09-18,Completed,2027-01-07,None recorded,Compliant,Demo Village 3 Demo Local Body,demo://photos/W-000004/completion,SYNTHETIC_PROTOTYPE,True
W-000006,2026-08-31,2026-09-09,2106000,Submitted,2026-09-11,ASSET-W-000006,Community Sanitation,Demo Village 8 Demo User Agency,Yes,2026-09-05,2026-09-17,Not Due,,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000006/completion,SYNTHETIC_PROTOTYPE,True
W-000007,2026-08-31,2026-09-08,2235000,Submitted,2026-09-22,ASSET-W-000007,Public Toilet,Demo Village 3 Demo User Agency,Yes,2026-09-15,2026-09-24,Pending,,None recorded,Compliant,Demo Village 3 Demo Local Body,demo://photos/W-000007/completion,SYNTHETIC_PROTOTYPE,True
W-000009,2026-08-31,2026-09-01,1618000,Submitted,2026-09-23,ASSET-W-000009,Pipeline Extension,Demo Village 3 Demo User Agency,Yes,2026-09-16,2026-09-05,Completed,2027-02-24,None recorded,Compliant,Demo Village 3 Demo Local Body,demo://photos/W-000009/completion,SYNTHETIC_PROTOTYPE,True
W-000010,2026-08-31,2026-09-06,2187000,Submitted,2026-09-09,ASSET-W-000010,Solar Street Lights,Demo Village 8 Demo User Agency,Yes,2026-09-02,2026-09-15,Pending,,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000010/completion,SYNTHETIC_PROTOTYPE,True
W-000011,2026-08-31,2026-09-04,1785000,Submitted,2026-10-14,ASSET-W-000011,Drainage,Demo Village 13 Demo User Agency,Yes,2026-09-11,2026-09-22,Pending,,None recorded,Compliant,Demo Village 13 Demo Local Body,demo://photos/W-000011/completion,SYNTHETIC_PROTOTYPE,True
W-000014,2026-08-31,2026-09-01,1665000,Submitted,2026-09-13,ASSET-W-000014,Solid Waste Shed,Demo Village 10 Demo User Agency,Yes,2026-09-11,2026-09-02,Not Due,,None recorded,Compliant,Demo Village 10 Demo Local Body,demo://photos/W-000014/completion,SYNTHETIC_PROTOTYPE,True
W-000018,2026-08-31,2026-09-07,2186000,Submitted,2026-10-11,ASSET-W-000018,Approach Road,Demo Village 34 Demo User Agency,Yes,2026-09-20,2026-09-22,Completed,2026-11-25,None recorded,Compliant,Demo Village 34 Demo Local Body,demo://photos/W-000018/completion,SYNTHETIC_PROTOTYPE,True
W-000019,2026-08-31,2026-09-06,960000,Submitted,2026-09-13,ASSET-W-000019,Solar Public Facility,Demo Village 27 Demo User Agency,Yes,2026-09-13,2026-09-22,Completed,2027-01-28,None recorded,Compliant,Demo Village 27 Demo Local Body,demo://photos/W-000019/completion,SYNTHETIC_PROTOTYPE,True
W-000020,2026-08-31,2026-09-01,1852000,Submitted,2026-10-06,ASSET-W-000020,Public Waiting Hall,Demo Village 29 Demo User Agency,Yes,2026-09-03,2026-09-23,Pending,,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-000020/completion,SYNTHETIC_PROTOTYPE,True
W-000021,2026-08-31,2026-09-03,4217000,Submitted,2026-09-29,ASSET-W-000021,Approach Road,Demo Village 8 Demo User Agency,Yes,2026-09-07,2026-09-30,Pending,,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000021/completion,SYNTHETIC_PROTOTYPE,True
W-000022,2026-08-31,2026-09-03,2905000,Submitted,2026-10-13,ASSET-W-000022,Drainage,Demo Village 22 Demo User Agency,Yes,2026-09-14,2026-09-12,Completed,2026-11-15,None recorded,Compliant,Demo Village 22 Demo Local Body,demo://photos/W-000022/completion,SYNTHETIC_PROTOTYPE,True
W-000024,2026-08-31,2026-09-09,2077000,Submitted,2026-10-06,ASSET-W-000024,Small Bridge,Demo Village 29 Demo User Agency,Yes,2026-09-14,2026-09-03,Not Due,,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-000024/completion,SYNTHETIC_PROTOTYPE,True
W-000025,2026-08-31,2026-09-10,4269000,Submitted,2026-10-01,ASSET-W-000025,Small Bridge,Demo Village 2 Demo User Agency,Yes,2026-09-19,2026-09-28,Not Due,,None recorded,Compliant,Demo Village 2 Demo Local Body,demo://photos/W-000025/completion,SYNTHETIC_PROTOTYPE,True
W-000028,2026-08-31,2026-09-02,2181000,Submitted,2026-10-10,ASSET-W-000028,Water Tank,Demo Village 27 Demo User Agency,Yes,2026-09-08,2026-09-05,Completed,2026-11-27,None recorded,Compliant,Demo Village 27 Demo Local Body,demo://photos/W-000028/completion,SYNTHETIC_PROTOTYPE,True
W-000033,2026-08-31,2026-09-06,1339000,Submitted,2026-10-12,ASSET-W-000033,Water Tank,Demo Village 9 Demo User Agency,Yes,2026-09-04,2026-09-12,Completed,2027-01-27,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-000033/completion,SYNTHETIC_PROTOTYPE,True
W-000034,2026-08-31,2026-09-02,3350000,Submitted,2026-09-06,ASSET-W-000034,Library Room,Demo Village 19 Demo User Agency,Yes,2026-09-09,2026-09-19,Completed,2026-11-15,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000034/completion,SYNTHETIC_PROTOTYPE,True
W-000035,2026-08-31,2026-09-03,2770000,Submitted,2026-09-28,ASSET-W-000035,Public Toilet,Demo Village 25 Demo User Agency,Yes,2026-09-10,2026-09-24,Pending,,None recorded,Compliant,Demo Village 25 Demo Local Body,demo://photos/W-000035/completion,SYNTHETIC_PROTOTYPE,True
W-000036,2026-08-31,2026-09-07,1608000,Submitted,2026-10-10,ASSET-W-000036,Rural Road,Demo Village 16 Demo User Agency,Yes,2026-09-14,2026-09-09,Completed,2027-01-11,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000036/completion,SYNTHETIC_PROTOTYPE,True
W-000040,2026-08-31,2026-09-10,2116000,Submitted,2026-09-26,ASSET-W-000040,Indoor Sports Hall,Demo Village 16 Demo User Agency,Yes,2026-09-14,2026-09-23,Not Due,,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000040/completion,SYNTHETIC_PROTOTYPE,True
W-000041,2026-08-31,2026-08-31,1334000,Pending,,ASSET-W-000041,Solid Waste Shed,Demo Village 10 Demo User Agency,Pending,2026-09-04,2026-09-08,Not Due,,Documentation / closure review,Review Required,Demo Village 10 Demo Local Body,demo://photos/W-000041/completion,SYNTHETIC_PROTOTYPE,True
W-000044,2026-08-31,2026-09-06,2951000,Submitted,2026-09-23,ASSET-W-000044,Anganwadi Building,Demo Village 7 Demo User Agency,Yes,2026-09-07,2026-09-03,Pending,,None recorded,Compliant,Demo Village 7 Demo Local Body,demo://photos/W-000044/completion,SYNTHETIC_PROTOTYPE,True
W-000046,2026-08-31,2026-09-09,2540000,Submitted,2026-09-19,ASSET-W-000046,Library Room,Demo Village 16 Demo User Agency,Yes,2026-09-11,2026-09-01,Completed,2026-11-18,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000046/completion,SYNTHETIC_PROTOTYPE,True
W-000047,2026-08-31,2026-09-10,2213000,Submitted,2026-09-24,ASSET-W-000047,RO Water Plant,Demo Village 11 Demo User Agency,Yes,2026-09-08,2026-09-27,Pending,,None recorded,Compliant,Demo Village 11 Demo Local Body,demo://photos/W-000047/completion,SYNTHETIC_PROTOTYPE,True
W-000048,2026-08-31,2026-09-09,2032000,Submitted,2026-10-01,ASSET-W-000048,Community Hall,Demo Village 20 Demo User Agency,Yes,2026-09-03,2026-09-19,Not Due,,None recorded,Compliant,Demo Village 20 Demo Local Body,demo://photos/W-000048/completion,SYNTHETIC_PROTOTYPE,True
W-000049,2026-08-31,2026-09-10,2657000,Submitted,2026-09-10,ASSET-W-000049,Sports Equipment Facility,Demo Village 6 Demo User Agency,Yes,2026-09-17,2026-09-10,Completed,2027-02-11,None recorded,Compliant,Demo Village 6 Demo Local Body,demo://photos/W-000049/completion,SYNTHETIC_PROTOTYPE,True
W-000050,2026-08-31,2026-09-04,2670000,Submitted,2026-10-11,ASSET-W-000050,Solar Water System,Demo Village 12 Demo User Agency,Yes,2026-09-13,2026-09-18,Pending,,None recorded,Compliant,Demo Village 12 Demo Local Body,demo://photos/W-000050/completion,SYNTHETIC_PROTOTYPE,True
W-000051,2026-08-31,2026-08-31,2861000,Submitted,2026-10-01,ASSET-W-000051,Drainage,Demo Village 8 Demo User Agency,Yes,2026-09-03,2026-09-13,Pending,,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000051/completion,SYNTHETIC_PROTOTYPE,True
W-000052,2026-08-31,2026-09-03,2832000,Submitted,2026-10-01,ASSET-W-000052,Water Tank,Demo Village 15 Demo User Agency,Yes,2026-09-03,2026-09-06,Not Due,,None recorded,Compliant,Demo Village 15 Demo Local Body,demo://photos/W-000052/completion,SYNTHETIC_PROTOTYPE,True
W-000054,2026-08-31,2026-09-08,1635000,Submitted,2026-09-12,ASSET-W-000054,Community Sanitation,Demo Village 26 Demo User Agency,Yes,2026-09-15,2026-09-11,Completed,2027-02-12,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-000054/completion,SYNTHETIC_PROTOTYPE,True
W-000057,2026-08-31,2026-09-02,2036000,Submitted,2026-09-25,ASSET-W-000057,Public Toilet,Demo Village 30 Demo User Agency,Yes,2026-09-05,2026-09-21,Pending,,None recorded,Compliant,Demo Village 30 Demo Local Body,demo://photos/W-000057/completion,SYNTHETIC_PROTOTYPE,True
W-000059,2026-08-31,2026-09-02,1126000,Submitted,2026-09-28,ASSET-W-000059,PHC Equipment Room,Demo Village 33 Demo User Agency,Yes,2026-09-15,2026-09-20,Pending,,None recorded,Compliant,Demo Village 33 Demo Local Body,demo://photos/W-000059/completion,SYNTHETIC_PROTOTYPE,True
W-000060,2026-08-31,2026-08-31,1532000,Submitted,2026-10-01,ASSET-W-000060,Pipeline Extension,Demo Village 26 Demo User Agency,Yes,2026-09-10,2026-09-03,Not Due,,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-000060/completion,SYNTHETIC_PROTOTYPE,True
W-000061,2026-08-31,2026-09-10,2288000,Submitted,2026-10-14,ASSET-W-000061,CC Road,Demo Village 1 Demo User Agency,Yes,2026-09-13,2026-09-19,Not Due,,None recorded,Compliant,Demo Village 1 Demo Local Body,demo://photos/W-000061/completion,SYNTHETIC_PROTOTYPE,True
W-000062,2026-08-31,2026-09-05,2768000,Submitted,2026-10-01,ASSET-W-000062,Anganwadi Building,Demo Village 16 Demo User Agency,Yes,2026-09-05,2026-09-23,Not Due,,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000062/completion,SYNTHETIC_PROTOTYPE,True
W-000063,2026-08-31,2026-09-01,3491000,Submitted,2026-10-10,ASSET-W-000063,PHC Equipment Room,Demo Village 13 Demo User Agency,Yes,2026-09-02,2026-09-03,Completed,2026-10-24,None recorded,Compliant,Demo Village 13 Demo Local Body,demo://photos/W-000063/completion,SYNTHETIC_PROTOTYPE,True
W-000064,2026-08-31,2026-09-07,2786000,Pending,,ASSET-W-000064,Small Bridge,Demo Village 15 Demo User Agency,Pending,2026-09-05,2026-09-09,Not Due,,Documentation / closure review,Review Required,Demo Village 15 Demo Local Body,demo://photos/W-000064/completion,SYNTHETIC_PROTOTYPE,True
W-000065,2026-08-31,2026-09-03,2059000,Submitted,2026-10-15,ASSET-W-000065,RO Water Plant,Demo Village 3 Demo User Agency,Yes,2026-09-01,2026-09-30,Not Due,,None recorded,Compliant,Demo Village 3 Demo Local Body,demo://photos/W-000065/completion,SYNTHETIC_PROTOTYPE,True
W-000066,2026-08-31,2026-08-31,2072000,Submitted,2026-09-24,ASSET-W-000066,Borewell,Demo Village 33 Demo User Agency,Yes,2026-09-20,2026-09-18,Completed,2027-02-06,None recorded,Compliant,Demo Village 33 Demo Local Body,demo://photos/W-000066/completion,SYNTHETIC_PROTOTYPE,True
W-000067,2026-08-31,2026-09-05,1411000,Submitted,2026-10-01,ASSET-W-000067,PHC Equipment Room,Demo Village 22 Demo User Agency,Yes,2026-09-16,2026-09-14,Not Due,,None recorded,Compliant,Demo Village 22 Demo Local Body,demo://photos/W-000067/completion,SYNTHETIC_PROTOTYPE,True
W-000069,2026-08-31,2026-09-10,1381000,Submitted,2026-10-05,ASSET-W-000069,Solar Street Lights,Demo Village 5 Demo User Agency,Yes,2026-09-09,2026-09-15,Completed,2026-10-10,None recorded,Compliant,Demo Village 5 Demo Local Body,demo://photos/W-000069/completion,SYNTHETIC_PROTOTYPE,True
W-000070,2026-08-31,2026-09-02,1155000,Submitted,2026-09-22,ASSET-W-000070,Community Sanitation,Demo Village 19 Demo User Agency,Yes,2026-09-08,2026-09-17,Not Due,,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000070/completion,SYNTHETIC_PROTOTYPE,True
W-000072,2026-08-31,2026-09-03,1428000,Submitted,2026-09-14,ASSET-W-000072,Solar Water System,Demo Village 26 Demo User Agency,Yes,2026-09-03,2026-09-19,Completed,2026-11-28,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-000072/completion,SYNTHETIC_PROTOTYPE,True
W-000073,2026-08-31,2026-09-08,1524000,Submitted,2026-09-29,ASSET-W-000073,Ambulance Shelter,Demo Village 6 Demo User Agency,Yes,2026-09-01,2026-09-06,Pending,,None recorded,Compliant,Demo Village 6 Demo Local Body,demo://photos/W-000073/completion,SYNTHETIC_PROTOTYPE,True
W-000077,2026-08-31,2026-09-08,1731000,Submitted,2026-09-12,ASSET-W-000077,Public Toilet,Demo Village 29 Demo User Agency,Yes,2026-09-06,2026-09-21,Not Due,,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-000077/completion,SYNTHETIC_PROTOTYPE,True
W-000078,2026-08-31,2026-09-04,1323000,Submitted,2026-09-11,ASSET-W-000078,Pipeline Extension,Demo Village 6 Demo User Agency,Yes,2026-09-16,2026-09-22,Pending,,None recorded,Compliant,Demo Village 6 Demo Local Body,demo://photos/W-000078/completion,SYNTHETIC_PROTOTYPE,True
W-000079,2026-08-31,2026-09-07,1133000,Submitted,2026-09-25,ASSET-W-000079,Borewell,Demo Village 2 Demo User Agency,Yes,2026-09-14,2026-09-17,Completed,2027-02-19,None recorded,Compliant,Demo Village 2 Demo Local Body,demo://photos/W-000079/completion,SYNTHETIC_PROTOTYPE,True
W-000081,2026-08-31,2026-08-31,1377000,Submitted,2026-09-20,ASSET-W-000081,Drainage,Demo Village 31 Demo User Agency,Yes,2026-09-04,2026-09-03,Not Due,,None recorded,Compliant,Demo Village 31 Demo Local Body,demo://photos/W-000081/completion,SYNTHETIC_PROTOTYPE,True
