work_id,lifecycle_stage,family,family_score_0_100,family_weight_pct,contribution_points,source_artifact,evidence_code,evidence_summary,data_available,applicable
W-000001,COMPLETION,ANOMALY,96.99170124481329,8,7.759336,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 96.992; not a probability.,True,True
W-000001,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000001,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000001,COMPLETION,PAYMENT_EXECUTION,0.0,20,0.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,NO_PAYMENT_EXECUTION_SIGNAL,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 0.000; persistence boost 0 points.,True,True
W-000001,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000001,COMPLETION,OPERATIONAL_TREND_CONTEXT,57.299270072992705,10,5.729927,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Odisha|district=Odisha Demo District 4|sector=Sports context; strongest metric progress_report_count; signed robust z 12.478.,True,True
W-000002,COMPLETION,ANOMALY,25.985477178423235,8,2.078838,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 25.985; not a probability.,True,True
W-000002,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000002,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000002,COMPLETION,PAYMENT_EXECUTION,60.0,20,12.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PERSISTENT_FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 10.000; persistence boost 10 points.,True,True
W-000002,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000002,COMPLETION,OPERATIONAL_TREND_CONTEXT,91.6058394160584,10,9.160584,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Karnataka|district=Karnataka Demo District 1|sector=Sports context; strongest metric progress_report_count; signed robust z 30.352.,True,True
W-000003,COMPLETION,ANOMALY,6.172199170124482,8,0.493776,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 6.172; not a probability.,True,True
W-000003,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000003,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000003,COMPLETION,PAYMENT_EXECUTION,54.68517264725796,20,10.937035,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PERSISTENT_FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 54.685; persistence boost 10 points.,True,True
W-000003,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000003,COMPLETION,OPERATIONAL_TREND_CONTEXT,60.58394160583942,10,6.058394,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Telangana|district=Telangana Demo District 1 context; strongest metric progress_report_count; signed robust z 13.153.,True,True
W-000004,COMPLETION,ANOMALY,13.692946058091286,8,1.095436,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 13.693; not a probability.,True,True
W-000004,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000004,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000004,COMPLETION,PAYMENT_EXECUTION,60.0,20,12.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PERSISTENT_FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 26.181; persistence boost 10 points.,True,True
W-000004,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000004,COMPLETION,OPERATIONAL_TREND_CONTEXT,12.226277372262775,10,1.222628,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Odisha|district=Odisha Demo District 2|sector=Drinking Water context; strongest metric progress_report_count; signed robust z 4.721.,True,True
W-000005,EXECUTION,ANOMALY,52.375,10,5.2375,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 52.375; not a probability.,True,True
W-000005,EXECUTION,PEER_DEVIATION,29.585798816568047,10,2.95858,data/processed/peer_benchmark_summary.csv,STATISTICAL_PEER_OUTLIER,3 peer-outlier metric(s); strongest overdue_days_as_of has absolute robust deviation 6.074.,True,True
W-000005,EXECUTION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000005,EXECUTION,PAYMENT_EXECUTION,60.0,25,15.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PAYMENT_AUTH_BEFORE_REQUEST,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 0.000; persistence boost 0 points.,True,True
W-000005,EXECUTION,OBSERVED_CONDITIONS,73.1549815498155,20,14.630996,data/processed/project_features.csv;data/processed/predictive_scores.csv,OBSERVED_OVERDUE,"Observed overdue=True (days=430.0, score=73.155); observed over sanction=False (overrun_pct=0.0, score=0.000).",True,True
W-000005,EXECUTION,COMPLIANCE,0.0,10,0.0,data/processed/compliance_evidence.csv,NO_ACTIONABLE_COMPLIANCE_RESULT,No REVIEW or deterministic NON_COMPLIANT compliance result.,True,True
W-000005,EXECUTION,COST_OVERRUN_PREDICTION,31.375,5,1.56875,data/processed/predictive_scores.csv,RAW_XGBOOST_SECONDARY_EARLY_WARNING,Weak secondary raw-XGBoost serving percentile 31.375; calibrated output excluded.,True,True
W-000005,EXECUTION,OPERATIONAL_TREND_CONTEXT,78.46715328467153,5,3.923358,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2 context; strongest metric progress_report_count; signed robust z 18.802.,True,True
W-000006,COMPLETION,ANOMALY,47.095435684647306,8,3.767635,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 47.095; not a probability.,True,True
W-000006,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000006,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000006,COMPLETION,PAYMENT_EXECUTION,60.0,20,12.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PERSISTENT_FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 10.000; persistence boost 10 points.,True,True
W-000006,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000006,COMPLETION,OPERATIONAL_TREND_CONTEXT,12.226277372262775,10,1.222628,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Sanitation context; strongest metric progress_report_count; signed robust z 4.721.,True,True
W-000007,COMPLETION,ANOMALY,20.59128630705394,8,1.647303,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 20.591; not a probability.,True,True
W-000007,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000007,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000007,COMPLETION,PAYMENT_EXECUTION,10.0,20,2.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PERSISTENT_FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 10.000; persistence boost 10 points.,True,True
W-000007,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000007,COMPLETION,OPERATIONAL_TREND_CONTEXT,12.226277372262775,10,1.222628,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Sanitation context; strongest metric progress_report_count; signed robust z 4.721.,True,True
W-000008,EXECUTION,ANOMALY,19.0,10,1.9,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 19.000; not a probability.,True,True
W-000008,EXECUTION,PEER_DEVIATION,0.0,10,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000008,EXECUTION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000008,EXECUTION,PAYMENT_EXECUTION,73.12119160460394,25,18.280298,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 73.121; persistence boost 0 points.,True,True
W-000008,EXECUTION,OBSERVED_CONDITIONS,0.0,20,0.0,data/processed/project_features.csv;data/processed/predictive_scores.csv,NO_OBSERVED_CONDITION,"Observed overdue=False (days=0.0, score=0.000); observed over sanction=False (overrun_pct=0.0, score=0.000).",True,True
W-000008,EXECUTION,COMPLIANCE,60.0,10,6.0,data/processed/compliance_evidence.csv,MPLADS-3.2.12-COMPLETION-LIMIT,Strongest actionable compliance result REVIEW/WARNING under rule MPLADS-3.2.12-COMPLETION-LIMIT.,True,True
W-000008,EXECUTION,COST_OVERRUN_PREDICTION,11.5,5,0.575,data/processed/predictive_scores.csv,RAW_XGBOOST_SECONDARY_EARLY_WARNING,Weak secondary raw-XGBoost serving percentile 11.500; calibrated output excluded.,True,True
W-000008,EXECUTION,OPERATIONAL_TREND_CONTEXT,20.072992700729927,5,1.00365,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Maharashtra|district=Maharashtra Demo District 4|sector=Drinking Water context; strongest metric progress_report_count; signed robust z 5.621.,True,True
W-000009,COMPLETION,ANOMALY,96.57676348547716,8,7.726141,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 96.577; not a probability.,True,True
W-000009,COMPLETION,PEER_DEVIATION,42.03655352480418,7,2.942559,data/processed/peer_benchmark_summary.csv,STATISTICAL_PEER_OUTLIER,1 peer-outlier metric(s); strongest physical_progress_velocity_pct_per_30d has absolute robust deviation 5.081.,True,True
W-000009,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000009,COMPLETION,PAYMENT_EXECUTION,60.0,20,12.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PERSISTENT_FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 10.880; persistence boost 10 points.,True,True
W-000009,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000009,COMPLETION,OPERATIONAL_TREND_CONTEXT,1.094890510948905,10,0.109489,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Maharashtra|district=Maharashtra Demo District 3|sector=Drinking Water context; strongest metric progress_report_count; signed robust z 3.541.,True,True
W-000010,COMPLETION,ANOMALY,36.20331950207469,8,2.896266,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 36.203; not a probability.,True,True
W-000010,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000010,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000010,COMPLETION,PAYMENT_EXECUTION,0.0,20,0.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,NO_PAYMENT_EXECUTION_SIGNAL,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 0.000; persistence boost 0 points.,True,True
W-000010,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000010,COMPLETION,OPERATIONAL_TREND_CONTEXT,90.51094890510949,10,9.051095,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3 context; strongest metric progress_report_count; signed robust z 29.172.,True,True
W-000011,COMPLETION,ANOMALY,21.939834024896264,8,1.755187,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 21.940; not a probability.,True,True
W-000011,COMPLETION,PEER_DEVIATION,0.0,7,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000011,COMPLETION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000011,COMPLETION,PAYMENT_EXECUTION,10.0,20,2.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PERSISTENT_FUND_PROGRESS_REVIEW,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 10.000; persistence boost 10 points.,True,True
W-000011,COMPLETION,COMPLIANCE,80.0,40,32.0,data/processed/compliance_evidence.csv,MPLADS-11.2-COMPLETION-UC,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,True,True
W-000011,COMPLETION,OPERATIONAL_TREND_CONTEXT,83.75912408759125,10,8.375912,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Odisha|district=Odisha Demo District 2|sector=Sanitation context; strongest metric progress_report_count; signed robust z 22.258.,True,True
W-000012,EXECUTION,ANOMALY,12.375,10,1.2375,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 12.375; not a probability.,True,True
W-000012,EXECUTION,PEER_DEVIATION,0.0,10,0.0,data/processed/peer_benchmark_summary.csv,NO_STATISTICAL_PEER_OUTLIER,No metric met the statistical peer-outlier evidence heuristic.,True,True
W-000012,EXECUTION,DUPLICATE_REVIEW,0.0,15,0.0,data/processed/duplicate_summary.csv,NO_DUPLICATE_REVIEW_CANDIDATE,No corroborated Day-4.1 duplicate review candidate.,True,True
W-000012,EXECUTION,PAYMENT_EXECUTION,60.0,25,15.0,data/processed/payment_irregularities.csv;data/processed/fund_progress_evidence.csv,PAYMENT_AUTH_BEFORE_REQUEST,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 0.000; persistence boost 0 points.,True,True
W-000012,EXECUTION,OBSERVED_CONDITIONS,0.0,20,0.0,data/processed/project_features.csv;data/processed/predictive_scores.csv,NO_OBSERVED_CONDITION,"Observed overdue=False (days=0.0, score=0.000); observed over sanction=False (overrun_pct=0.0, score=0.000).",True,True
W-000012,EXECUTION,COMPLIANCE,0.0,10,0.0,data/processed/compliance_evidence.csv,NO_ACTIONABLE_COMPLIANCE_RESULT,No REVIEW or deterministic NON_COMPLIANT compliance result.,True,True
W-000012,EXECUTION,COST_OVERRUN_PREDICTION,65.75,5,3.2875,data/processed/predictive_scores.csv,RAW_XGBOOST_SECONDARY_EARLY_WARNING,Weak secondary raw-XGBoost serving percentile 65.750; calibrated output excluded.,True,True
W-000012,EXECUTION,OPERATIONAL_TREND_CONTEXT,34.85401459854015,5,1.742701,data/processed/work_trend_context.csv,OPERATIONAL_TREND_DEVIATION,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Community Infrastructure context; strongest metric progress_report_count; signed robust z 8.094.,True,True
W-000013,EXECUTION,ANOMALY,41.25,10,4.125,data/processed/anomaly_scores.csv,LIFECYCLE_ANOMALY_PERCENTILE,Within-lifecycle statistical unusualness percentile 41.250; not a probability.,True,True
