alert_id,work_id,alert_type,status,message
V2-W-000003-OBSERVED_DELAY,W-000003,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000004-RELEASE_ABOVE_VISIBLE_SANCTION,W-000004,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000008-OBSERVED_DELAY,W-000008,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000010-OBSERVED_COST_OVERRUN,W-000010,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000010-RELEASE_ABOVE_VISIBLE_SANCTION,W-000010,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000010-COMPLETION_RECORDS_REVIEW,W-000010,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000011-COMPLETION_RECORDS_REVIEW,W-000011,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000012-OBSERVED_COST_OVERRUN,W-000012,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000012-RELEASE_ABOVE_VISIBLE_SANCTION,W-000012,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000014-OBSERVED_COST_OVERRUN,W-000014,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000014-RELEASE_ABOVE_VISIBLE_SANCTION,W-000014,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000022-OBSERVED_DELAY,W-000022,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000023-OBSERVED_DELAY,W-000023,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000023-RELEASE_ABOVE_VISIBLE_SANCTION,W-000023,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000027-OBSERVED_DELAY,W-000027,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000029-OBSERVED_COST_OVERRUN,W-000029,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000029-RELEASE_ABOVE_VISIBLE_SANCTION,W-000029,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000031-COMPLETION_RECORDS_REVIEW,W-000031,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000032-OBSERVED_COST_OVERRUN,W-000032,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000032-RELEASE_ABOVE_VISIBLE_SANCTION,W-000032,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000032-COMPLETION_RECORDS_REVIEW,W-000032,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000033-OBSERVED_COST_OVERRUN,W-000033,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000033-RELEASE_ABOVE_VISIBLE_SANCTION,W-000033,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000038-OBSERVED_COST_OVERRUN,W-000038,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000038-RELEASE_ABOVE_VISIBLE_SANCTION,W-000038,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000043-RELEASE_ABOVE_VISIBLE_SANCTION,W-000043,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000045-OBSERVED_DELAY,W-000045,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000045-RELEASE_ABOVE_VISIBLE_SANCTION,W-000045,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000047-RELEASE_ABOVE_VISIBLE_SANCTION,W-000047,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
