entity_id,entity_type,entity_name,state_name,district,registration_or_office_code,vendor_category,active_status,source_type,synthetic_marker
IA-AP-001,IMPLEMENTING_AGENCY,Demo Panchayat Engineering Division AP-01,Andhra Pradesh,Andhra Pradesh Demo District 1,AP-IA-1001,,Active,SYNTHETIC_PROTOTYPE,True
IA-AP-002,IMPLEMENTING_AGENCY,Demo Panchayat Engineering Division AP-02,Andhra Pradesh,Andhra Pradesh Demo District 2,AP-IA-1002,,Active,SYNTHETIC_PROTOTYPE,True
IA-AP-003,IMPLEMENTING_AGENCY,Demo Public Health Engineering Division AP-03,Andhra Pradesh,Andhra Pradesh Demo District 3,AP-IA-1003,,Active,SYNTHETIC_PROTOTYPE,True
IA-AP-004,IMPLEMENTING_AGENCY,Demo District Education Engineering Cell AP-04,Andhra Pradesh,Andhra Pradesh Demo District 4,AP-IA-1004,,Active,SYNTHETIC_PROTOTYPE,True
IA-AP-005,IMPLEMENTING_AGENCY,Demo Rural Water Supply Division AP-05,Andhra Pradesh,Andhra Pradesh Demo District 1,AP-IA-1005,,Active,SYNTHETIC_PROTOTYPE,True
IA-AP-006,IMPLEMENTING_AGENCY,Demo Rural Water Supply Division AP-06,Andhra Pradesh,Andhra Pradesh Demo District 2,AP-IA-1006,,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-001,VENDOR,Demo Vendor AP-001,Andhra Pradesh,Andhra Pradesh Demo District 1,AP-VN-5001,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-002,VENDOR,Demo Vendor AP-002,Andhra Pradesh,Andhra Pradesh Demo District 2,AP-VN-5002,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-003,VENDOR,Demo Vendor AP-003,Andhra Pradesh,Andhra Pradesh Demo District 3,AP-VN-5003,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-004,VENDOR,Demo Vendor AP-004,Andhra Pradesh,Andhra Pradesh Demo District 4,AP-VN-5004,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-005,VENDOR,Demo Vendor AP-005,Andhra Pradesh,Andhra Pradesh Demo District 1,AP-VN-5005,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-006,VENDOR,Demo Vendor AP-006,Andhra Pradesh,Andhra Pradesh Demo District 2,AP-VN-5006,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-007,VENDOR,Demo Vendor AP-007,Andhra Pradesh,Andhra Pradesh Demo District 3,AP-VN-5007,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-008,VENDOR,Demo Vendor AP-008,Andhra Pradesh,Andhra Pradesh Demo District 4,AP-VN-5008,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-009,VENDOR,Demo Vendor AP-009,Andhra Pradesh,Andhra Pradesh Demo District 1,AP-VN-5009,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-010,VENDOR,Demo Vendor AP-010,Andhra Pradesh,Andhra Pradesh Demo District 2,AP-VN-5010,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-011,VENDOR,Demo Vendor AP-011,Andhra Pradesh,Andhra Pradesh Demo District 3,AP-VN-5011,Electrical Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-AP-012,VENDOR,Demo Vendor AP-012,Andhra Pradesh,Andhra Pradesh Demo District 4,AP-VN-5012,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
IA-TS-001,IMPLEMENTING_AGENCY,Demo District Education Engineering Cell TS-01,Telangana,Telangana Demo District 1,TS-IA-1001,,Active,SYNTHETIC_PROTOTYPE,True
IA-TS-002,IMPLEMENTING_AGENCY,Demo Municipal Engineering Wing TS-02,Telangana,Telangana Demo District 2,TS-IA-1002,,Active,SYNTHETIC_PROTOTYPE,True
IA-TS-003,IMPLEMENTING_AGENCY,Demo PWD Division TS-03,Telangana,Telangana Demo District 3,TS-IA-1003,,Active,SYNTHETIC_PROTOTYPE,True
IA-TS-004,IMPLEMENTING_AGENCY,Demo PWD Division TS-04,Telangana,Telangana Demo District 4,TS-IA-1004,,Active,SYNTHETIC_PROTOTYPE,True
IA-TS-005,IMPLEMENTING_AGENCY,Demo Public Health Engineering Division TS-05,Telangana,Telangana Demo District 1,TS-IA-1005,,Active,SYNTHETIC_PROTOTYPE,True
IA-TS-006,IMPLEMENTING_AGENCY,Demo PWD Division TS-06,Telangana,Telangana Demo District 2,TS-IA-1006,,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-001,VENDOR,Demo Vendor TS-001,Telangana,Telangana Demo District 1,TS-VN-5001,Electrical Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-002,VENDOR,Demo Vendor TS-002,Telangana,Telangana Demo District 2,TS-VN-5002,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-003,VENDOR,Demo Vendor TS-003,Telangana,Telangana Demo District 3,TS-VN-5003,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-004,VENDOR,Demo Vendor TS-004,Telangana,Telangana Demo District 4,TS-VN-5004,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-005,VENDOR,Demo Vendor TS-005,Telangana,Telangana Demo District 1,TS-VN-5005,Equipment Supplier,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-006,VENDOR,Demo Vendor TS-006,Telangana,Telangana Demo District 2,TS-VN-5006,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-007,VENDOR,Demo Vendor TS-007,Telangana,Telangana Demo District 3,TS-VN-5007,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-008,VENDOR,Demo Vendor TS-008,Telangana,Telangana Demo District 4,TS-VN-5008,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-009,VENDOR,Demo Vendor TS-009,Telangana,Telangana Demo District 1,TS-VN-5009,Equipment Supplier,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-010,VENDOR,Demo Vendor TS-010,Telangana,Telangana Demo District 2,TS-VN-5010,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-011,VENDOR,Demo Vendor TS-011,Telangana,Telangana Demo District 3,TS-VN-5011,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-TS-012,VENDOR,Demo Vendor TS-012,Telangana,Telangana Demo District 4,TS-VN-5012,Equipment Supplier,Active,SYNTHETIC_PROTOTYPE,True
IA-KA-001,IMPLEMENTING_AGENCY,Demo Rural Water Supply Division KA-01,Karnataka,Karnataka Demo District 1,KA-IA-1001,,Active,SYNTHETIC_PROTOTYPE,True
IA-KA-002,IMPLEMENTING_AGENCY,Demo Municipal Engineering Wing KA-02,Karnataka,Karnataka Demo District 2,KA-IA-1002,,Active,SYNTHETIC_PROTOTYPE,True
IA-KA-003,IMPLEMENTING_AGENCY,Demo Rural Water Supply Division KA-03,Karnataka,Karnataka Demo District 3,KA-IA-1003,,Active,SYNTHETIC_PROTOTYPE,True
IA-KA-004,IMPLEMENTING_AGENCY,Demo Rural Water Supply Division KA-04,Karnataka,Karnataka Demo District 4,KA-IA-1004,,Active,SYNTHETIC_PROTOTYPE,True
IA-KA-005,IMPLEMENTING_AGENCY,Demo Municipal Engineering Wing KA-05,Karnataka,Karnataka Demo District 1,KA-IA-1005,,Active,SYNTHETIC_PROTOTYPE,True
IA-KA-006,IMPLEMENTING_AGENCY,Demo Rural Water Supply Division KA-06,Karnataka,Karnataka Demo District 2,KA-IA-1006,,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-001,VENDOR,Demo Vendor KA-001,Karnataka,Karnataka Demo District 1,KA-VN-5001,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-002,VENDOR,Demo Vendor KA-002,Karnataka,Karnataka Demo District 2,KA-VN-5002,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-003,VENDOR,Demo Vendor KA-003,Karnataka,Karnataka Demo District 3,KA-VN-5003,Equipment Supplier,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-004,VENDOR,Demo Vendor KA-004,Karnataka,Karnataka Demo District 4,KA-VN-5004,Equipment Supplier,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-005,VENDOR,Demo Vendor KA-005,Karnataka,Karnataka Demo District 1,KA-VN-5005,Civil Contractor,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-006,VENDOR,Demo Vendor KA-006,Karnataka,Karnataka Demo District 2,KA-VN-5006,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-007,VENDOR,Demo Vendor KA-007,Karnataka,Karnataka Demo District 3,KA-VN-5007,Water Works Vendor,Active,SYNTHETIC_PROTOTYPE,True
VN-KA-008,VENDOR,Demo Vendor KA-008,Karnataka,Karnataka Demo District 4,KA-VN-5008,Equipment Supplier,Active,SYNTHETIC_PROTOTYPE,True
