work_id,mp_id,state_name,constituency,district,block,village,sector,sub_sector,work_description,registered_latitude,registered_longitude,coordinates_provenance,recommendation_date,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,sanction_date,sanction_revision_count,implementing_agency_id,expected_start_date,actual_start_date,expected_completion_date,actual_completion_date,lifecycle_stage,current_status,current_physical_progress_pct,current_expenditure_inr,final_actual_expenditure_inr,source_type,synthetic_demo_data
W-000001,MP-S01-01,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 1,Demo Block 1,Demo Village 8,Others,public sanitation block,"Construction and improvement of public sanitation block at Demo Village 8, Demo Block 1",15.146251,79.529365,SYNTHETIC_PROTOTYPE_COORDINATE,2022-04-12,8042000,7780000,,,0,IA-S01-01-01,,,,,PRE_SANCTION,RECOMMENDED,0.0,0,,SYNTHETIC_V2,True
W-000002,MP-S02-01,Karnataka,Karnataka Demo Constituency 1,Karnataka Demo District 1,Demo Block 2,Demo Village 15,Community Infrastructure,sports facility,"Construction and improvement of sports facility at Demo Village 15, Demo Block 2",15.15312,75.545694,SYNTHETIC_PROTOTYPE_COORDINATE,2022-04-23,10771000,11119000,11472000,2022-07-13,0,IA-S02-01-01,2022-09-16,2022-09-26,2026-11-14,,EXECUTION,ONGOING,92,9850000,,SYNTHETIC_V2,True
W-000003,MP-S03-01,Maharashtra,Maharashtra Demo Constituency 1,Maharashtra Demo District 1,Demo Block 3,Demo Village 22,Health,primary health centre,"Construction and improvement of primary health centre at Demo Village 22, Demo Block 3",19.267925,74.853982,SYNTHETIC_PROTOTYPE_COORDINATE,2022-05-04,643000,678000,606000,2022-08-03,0,IA-S03-01-01,2022-09-03,2022-09-19,2023-10-18,,EXECUTION,ONGOING,91.5,571000,,SYNTHETIC_V2,True
W-000004,MP-S04-01,Odisha,Odisha Demo Constituency 1,Odisha Demo District 1,Demo Block 4,Demo Village 29,Drinking Water,community water tank,"Construction and improvement of community water tank at Demo Village 29, Demo Block 4",20.3776,84.265515,SYNTHETIC_PROTOTYPE_COORDINATE,2022-05-15,5790000,5848000,5825000,2022-09-01,0,IA-S04-01-01,2022-11-03,2022-11-07,2026-10-03,,EXECUTION,ONGOING,92,7895000,,SYNTHETIC_V2,True
W-000005,MP-S05-01,Rajasthan,Rajasthan Demo Constituency 1,Rajasthan Demo District 1,Demo Block 5,Demo Village 36,Education,library building,"Construction and improvement of library building at Demo Village 36, Demo Block 5",26.494736,73.678867,SYNTHETIC_PROTOTYPE_COORDINATE,2022-05-26,5000000,4880000,5212000,2022-08-03,0,IA-S05-01-01,2022-09-30,2022-10-02,2027-03-22,,EXECUTION,ONGOING,92,5094000,,SYNTHETIC_V2,True
W-000006,MP-S06-01,Tamil Nadu,Tamil Nadu Demo Constituency 1,Tamil Nadu Demo District 1,Demo Block 1,Demo Village 2,Roads,rural road,"Construction and improvement of rural road at Demo Village 2, Demo Block 1",11.004576,78.594524,SYNTHETIC_PROTOTYPE_COORDINATE,2022-06-06,8134000,8528000,8302000,2022-07-27,0,IA-S06-01-01,2022-08-30,2022-08-30,2026-11-19,,EXECUTION,ONGOING,92,5811000,,SYNTHETIC_V2,True
W-000007,MP-S01-02,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 1,Demo Block 2,Demo Village 9,Others,public sanitation block,"Construction and improvement of public sanitation block at Demo Village 9, Demo Block 2",15.216699,79.605546,SYNTHETIC_PROTOTYPE_COORDINATE,2022-06-17,11108000,11401000,11336000,2022-08-25,0,IA-S01-01-01,2022-10-03,2022-11-04,2026-11-05,,EXECUTION,ONGOING,80.1,8197000,,SYNTHETIC_V2,True
W-000008,MP-S02-02,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 1,Demo Block 3,Demo Village 16,Community Infrastructure,sports facility,"Construction and improvement of sports facility at Demo Village 16, Demo Block 3",15.225283,75.614189,SYNTHETIC_PROTOTYPE_COORDINATE,2022-06-28,11463000,11140000,11235000,2022-09-22,0,IA-S02-01-01,2022-11-24,2022-12-01,2024-01-06,,EXECUTION,ONGOING,76.3,8782000,,SYNTHETIC_V2,True
W-000009,MP-S03-02,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 1,Demo Block 4,Demo Village 23,Health,primary health centre,"Construction and improvement of primary health centre at Demo Village 23, Demo Block 4",19.340368,74.930512,SYNTHETIC_PROTOTYPE_COORDINATE,2022-07-09,8311000,7925000,7142000,2022-07-30,0,IA-S03-01-01,2022-08-18,2022-09-19,2023-05-01,2023-09-01,COMPLETION,COMPLETED,100.0,6761000,6761000,SYNTHETIC_V2,True
W-000010,MP-S04-02,Odisha,Odisha Demo Constituency 2,Odisha Demo District 1,Demo Block 5,Demo Village 30,Drinking Water,community water tank,"Construction and improvement of community water tank at Demo Village 30, Demo Block 5",20.453543,84.339835,SYNTHETIC_PROTOTYPE_COORDINATE,2022-07-20,3310000,3366000,3226000,2022-08-18,0,IA-S04-01-01,2022-10-08,2022-11-02,2023-10-03,2024-01-12,COMPLETION,COMPLETED,100.0,3731000,3731000,SYNTHETIC_V2,True
